[15:27:31] LPR11 Recv: LPR_N
[15:27:34] LPR21 Recv: LPR_N
[15:27:36] LPR11 Recv: LPR_N
[15:27:40] LPR21 Recv: LPR_N
[15:27:42] LPR11 Recv: LPR_N
[15:27:45] LPR21 Recv: LPR_N
[15:27:47] LPR11 Recv: LPR_N
[15:27:50] LPR21 Recv: LPR_N
[15:27:52] LPR11 Recv: LPR_N
[15:27:55] LPR21 Recv: LPR_N
[15:27:57] LPR11 Recv: LPR_N
[15:28:00] LPR21 Recv: LPR_N
[15:28:03] LPR11 Recv: LPR_N
[15:28:06] LPR21 Recv: LPR_N
[15:28:08] LPR11 Recv: LPR_N
[15:28:11] LPR21 Recv: LPR_N
[15:28:14] LPR11 Recv: LPR_N
[15:28:17] LPR21 Recv: LPR_N
[15:28:19] LPR11 Recv: LPR_N
[15:28:22] LPR21 Recv: LPR_N
[15:28:24] LPR11 Recv: LPR_N
[15:28:27] LPR21 Recv: LPR_N
[15:28:29] LPR11 Recv: LPR_N
[15:28:32] LPR21 Recv: LPR_N
[15:28:35] LPR11 Recv: LPR_N
[15:28:38] LPR21 Recv: LPR_N
[15:28:40] LPR11 Recv: LPR_N
[15:28:40] Program Close
[15:49:11] Program Start!
[15:49:13] 근무시작: 근무자
[15:49:13] 설치된 출구무인정산기 없음!
[15:49:13] 바코드스캐너가 없음!
[15:49:15] 영수증프린터 포트오픈 에러: ie_BadId - Specified comport doesn't exist
[15:49:15] Ping 시간 체크1-113573046
[15:49:15] Ping 시간 체크2-113573062
[15:49:15] Ping 시간 체크1-113573140
[15:49:15] Ping 시간 체크2-113573140
[15:49:15] Ping 시간 체크1-113573156
[15:49:15] Ping 시간 체크2-113573171
[15:49:15] 설치된 출구전광판이 없음!
[15:49:15] csOutDsp1Error: 1110
[15:49:15] LPR11 Recv: 127.0.0.1
[15:49:15] LPR21 Recv: 127.0.0.1
[15:49:17] LPR11 Recv: LPR_N
[15:49:17] LPR21 Recv: LPR_N
[15:49:19] LPR11 Recv: LPR_N
[15:49:19] LPR11 Recv: CH1#경기46로8862#O#\2018\05\11\CH1_20180511154919_경기46로8862.jpg
[15:49:19] LPR Check: 경기46로8862,http://127.0.0.1:9080/MSImage/2018/05/11/CH1_20180511154919_경기46로8862.jpg,1,,,0, 2018-05-11 15:49:19
[15:49:19] File: \\127.0.0.1\MSImage\2018\05\11\CH1_20180511154919_경기46로8862.jpg
[15:49:19] 정기차량시작: 경기46로8862, 
[15:49:19] Ping 시간 체크1-113576984
[15:49:19] Ping 시간 체크2-113576984
[15:49:19] 전광판문구  VIP 차량  경기46로8862
[15:49:19] Ping 시간 체크1-113576984
[15:49:19] Ping 시간 체크2-113576984
[15:49:19] 입구차단기 Open
[15:49:19] 정기차량처리: 경기46로8862, 
[15:49:21] LPR21 Recv: LPR_N
[15:49:24] LPR11 Recv: LPR_N
[15:49:24] Program Close
