[16:06:30] TfrmMain.GridData: No MCI device open
[16:06:50] TfrmMain.GridData: No MCI device open
[16:07:10] TfrmMain.GridData: No MCI device open
[16:07:30] TfrmMain.GridData: No MCI device open
[16:07:50] TfrmMain.GridData: No MCI device open
[16:08:10] TfrmMain.GridData: No MCI device open
[16:08:30] TfrmMain.GridData: No MCI device open
[16:08:50] TfrmMain.GridData: No MCI device open
[16:09:10] TfrmMain.GridData: No MCI device open
[16:09:30] TfrmMain.GridData: No MCI device open
[16:09:50] TfrmMain.GridData: No MCI device open
[16:10:10] TfrmMain.GridData: No MCI device open
[16:10:30] TfrmMain.GridData: No MCI device open
[16:10:50] TfrmMain.GridData: No MCI device open
[16:11:10] TfrmMain.GridData: No MCI device open
[16:11:30] TfrmMain.GridData: No MCI device open
[16:11:50] TfrmMain.GridData: No MCI device open
[16:12:10] TfrmMain.GridData: No MCI device open
[16:12:30] TfrmMain.GridData: No MCI device open
[16:12:50] TfrmMain.GridData: No MCI device open
[16:13:10] TfrmMain.GridData: No MCI device open
[16:13:30] TfrmMain.GridData: No MCI device open
[16:13:50] TfrmMain.GridData: No MCI device open
[16:14:10] TfrmMain.GridData: No MCI device open
[16:14:30] TfrmMain.GridData: No MCI device open
[16:14:50] TfrmMain.GridData: No MCI device open
[16:15:10] TfrmMain.GridData: No MCI device open
[16:15:30] TfrmMain.GridData: No MCI device open
[16:15:50] TfrmMain.GridData: No MCI device open
[16:16:10] TfrmMain.GridData: No MCI device open
[16:16:30] TfrmMain.GridData: No MCI device open
[16:16:50] TfrmMain.GridData: No MCI device open
[16:17:10] TfrmMain.GridData: No MCI device open
[16:17:30] TfrmMain.GridData: No MCI device open
[16:17:50] TfrmMain.GridData: No MCI device open
[16:18:10] TfrmMain.GridData: No MCI device open
[16:18:30] TfrmMain.GridData: No MCI device open
[16:18:53] TfrmMain.GridData: No MCI device open
[16:19:10] TfrmMain.GridData: No MCI device open
[16:19:30] TfrmMain.GridData: No MCI device open
[16:19:50] TfrmMain.GridData: No MCI device open
[16:20:10] TfrmMain.GridData: No MCI device open
[16:20:30] TfrmMain.GridData: No MCI device open
[16:20:50] TfrmMain.GridData: No MCI device open
[16:21:10] TfrmMain.GridData: No MCI device open
[16:21:30] TfrmMain.GridData: No MCI device open
[16:21:50] TfrmMain.GridData: No MCI device open
[16:22:10] TfrmMain.GridData: No MCI device open
[16:22:30] TfrmMain.GridData: No MCI device open
[16:22:50] TfrmMain.GridData: No MCI device open
[16:23:10] TfrmMain.GridData: No MCI device open
[16:23:30] TfrmMain.GridData: No MCI device open
